;MLP;LSTM;GRU;RF;Transformer;GTN;TFT;CNN;
d2m;0;1;1;0;1;0;0;0;
lc_agriculture;0;0;0;0;0;1;0;1;
lc_forest;0;0;0;1;1;1;1;1;
lc_grassland;1;1;1;1;1;1;1;1;
lc_settlement;0;1;1;1;0;1;1;0;
lc_shrubland;0;0;0;0;0;0;0;0;
lc_sparse_vegetation;0;0;0;1;0;0;0;0;
lc_water_bodies;1;1;1;1;1;1;1;1;
lc_wetland;0;0;0;0;0;0;0;0;
lst_day;1;1;1;1;1;1;1;1;
lst_night;1;1;1;1;1;1;1;0;
rh;1;0;0;1;1;1;1;1;
roads_distance;0;0;0;0;0;0;0;1;
slope;1;1;1;1;1;1;1;1;
smi;1;1;1;1;1;1;1;1;
ssrd;0;1;1;1;1;1;1;1;
t2m;1;1;1;1;1;1;1;1;
tp;1;1;1;1;1;1;1;1;
wind_speed;0;0;0;0;0;0;0;0;
