Timelag,Model,F1 Training,F1 Validation,F1 Testing,AUCPR Training,AUCPR Validation,AUCPR Testing,Seed,Date
5,Transformer,0.8150744960560912,0.8027901077996196,0.763610818405339,,0.8702368434515051,0.8487974823777767,2,/0704_042048/
5,LSTM,0.8077372262773722,0.8030207677784771,0.7643224699828474,,0.865251405575957,0.8298731672349797,8,0703_120010
10,Transformer,0.8298371717764412,0.8125802310654685,0.7795053003533569,,0.8867613369878735,0.8640305815248943,9,/0704_071735
10,LSTM,0.8275455282754552,0.817783343769568,0.7785372522214627,,0.8816209500048742,0.8482809636969384,8,0703_130438
15,Transformer,0.8365377532228361,0.8149532710280374,0.7841800204568701,,0.8889239876905238,0.8664640278766937,2,/0704_074850
15,LSTM,0.8324992640565204,0.8227927363807138,0.7793594306049823,,0.8871739316263926,0.8713527851458885,3,0703_133700
20,Transformer,0.8486554559597007,0.8169191919191919,0.7873684210526316,,0.8888533374771057,0.8664999164147105,3,0704_094345
20,LSTM,0.8372230428360413,0.827930174563591,0.7755524861878453,,0.8911134788221432,0.8512496291349021,3,0703_144153
25,Transformer,0.8476339053562143,0.8235294117647058,0.792332268370607,,0.8978012237314462,0.8629387822284489,8,0704_122024
25,LSTM,0.84181710565256,0.82875,0.7713191785589976,,0.8934749911026626,0.8539704087965977,3,0703_154627
30,Transformer,0.8475482912332838,0.8168130489335006,0.7892693258030357,,0.8962139806380274,0.8726658590696276,3,0704_131222
30,LSTM,0.84543429844098,0.8267667292057536,0.7735117999295527,,0.8957754217779266,0.8536579706063131,3,0703_165140
