run_id,val_aucpr,val_f1_score,train_aucpr,train_f1_score,test_f1_score,test_aucpr
0115_152856,0.843324,0.759398,0.982961,0.926335,0.819026,0.891902
0115_153012,0.919502,0.838658,0.999980,0.995331,0.798867,0.890810
0115_153225,0.894076,0.815451,0.999766,0.990802,0.803428,0.876060
0115_153423,0.874461,0.794606,0.999110,0.983554,0.792697,0.884365
0115_153605,0.875525,0.817568,1.000000,0.999393,0.817778,0.895387
0115_153826,0.894733,0.820839,1.000000,0.999701,0.808394,0.899960
0115_154102,0.889795,0.797954,0.999990,0.996307,0.807662,0.874202
0115_154319,0.900771,0.827795,0.999982,0.996494,0.774958,0.857228
0115_154535,0.842338,0.772047,0.999705,0.988710,0.766234,0.860490
0115_154731,0.859487,0.774300,0.999986,0.996007,0.773784,0.880754
0115_154935,0.859405,0.785623,0.999931,0.993706,0.783826,0.874339
0115_155132,0.883805,0.784615,0.999128,0.981510,0.752281,0.809512
0115_155310,0.865072,0.777143,0.997651,0.970554,0.753162,0.845592
0115_155440,0.808754,0.737143,0.999583,0.985614,0.778713,0.876626
0115_155619,0.872357,0.786250,0.999869,0.993608,0.762537,0.854699
